Row 6: B=Jedi | C=Jedi Consular | D=Adept Negotiator | E=undefined | I=As a Standard Action, you can weaken the resolve of one opponent with your words. The target must have an Intelligence of 3 or higher, and it must be able to see, hear, and understand you. Make a Persuasion check; if the result equals or exceeds the target's Will Defense, it moves -1 step along the Condition Track. The target gets a +5 bonus to its Will Defense if it is higher level than you. If the target reaches the end of its Condition Track, it does not fall unconscious, instead, it cannot attack you or your allies for the remainder of the encounter unless you or one of your allies attacks it or one of its allies first. This is a Mind-Affecting effect.  | J=No | L=0
Row 37: B=undefined | C=undefined | D=Forceful Warrior | E=undefined | I=Upon scoring a critical hit with a lightsaber, gain a temporary Force Point | J=No | L=0
Row 38: B=undefined | C=undefined | D=Hold the Line | E=undefined | I=When you make a successful attack of opportunity against a moving opponent, you end the target's move action | J=No | L=0
Row 39: B=undefined | C=undefined | D=Immovable | E=undefined | I=You can activate this talent as a swift action. Until the start of your next turn, anyone attempting to move you involuntarily (such as with a bantha rush or the move object Force power) takes a -5 penalty to attack rolls or skill checks made to use the effect that would move you. An enemy can only take the penalty from this talent once per attempt, regardless of How many targets have used this talent | J=No | L=0
Row 40: B=undefined | C=undefined | D=Mobile Combatant | E=undefined | I=Spend a swift action upon ending movement adjacent to an enemy to move with them up to your speed, whilst still benefiting from attacks of opportunity | J=No | L=0
Row 41: B=undefined | C=undefined | D=Resilience | E=undefined | I=Spend a full-round action to move +2 steps along the condition track | J=No | L=0
Row 42: B=undefined | C=Jedi Sentinel | D=Clear Mind | E=undefined | I=May reroll any Use the Force check made to avoid being detected by other Force-users, but must accept the result of the reroll even if it is worse | J=No | L=0
Row 43: B=undefined | C=undefined | D=undefined | E=Force Haze | I=Spend a Force Point as a standard action to grant a number of creatures up to your class level total concealment from an opponent if your Use the Force check beats their Will Defense | J=No | L=0
Row 44: B=undefined | C=undefined | D=undefined | E=undefined | I=Whenever anyone concealed by your use of the Foce Haze talent attacks, you maintain total concealment without having to make another Use the Force check. Only those who do not attack remain concealed. | J=No | L=0
Row 45: B=undefined | C=undefined | D=undefined | E=undefined | I=Whenever you use the Force Haze talent, allies hidden by the haze can reroll any Perception check, keeping the better result. Addition¬ally, allies hidden by the haze gain +2 on all damage rolls against foes that are unaware of them. | J=No | L=0
Row 46: B=undefined | C=undefined | D=Dampen Presence | E=undefined | I=Use the Force against a target's Will Defense as a swift action to cause them to forget your interaction | J=No | L=0
Row 47: B=undefined | C=undefined | D=Dark Side Sense | E=undefined | I=May reroll any Use the Force check made to sense the presence and relative location of characters with a Dark Side score, but must accept the result of the reroll even if it is worse | J=No | L=0
Row 48: B=undefined | C=undefined | D=undefined | E=Dark Side Bane | I=Deal Charisma bonus extra damage using Force powers against dark siders | J=No | L=0
Row 49: B=undefined | C=undefined | D=undefined | E=Dark Side Scourge | I=Deal extra damage equal to your Charisma modifier (minimum +1) against creatures with a Dark Side Score | J=No | L=0
Row 50: B=undefined | C=undefined | D=undefined | E=Resist the Dark Side | I=+5 to all Defense scores against Dark Side Force powers and any Force power from a dark Force-user | J=No | L=0
Row 51: B=undefined | C=undefined | D=Gradual Resistance | E=undefined | I=If you take damage from the use of a Force power, until the end of the encounter you gain a +2 Force bonus to all defenses against that Force power. | J=No | L=0
Row 52: B=undefined | C=undefined | D=Master of the Great Hunt | E=undefined | I=Gain +1 to attack and deal +1 die of damage against beasts with a dark side score of 1 or more | J=No | L=0
Row 53: B=undefined | C=undefined | D=Prime Targets | E=undefined | I=When you hit a target with a lightsaber attack, if the target has not been attacked since the end of your last turn, you deal +1 die of damage. | J=No | L=0
Row 54: B=undefined | C=undefined | D=Reap Retribution | E=undefined | I=If you take damage from the use of a Force power, until the end of the encounter you deal an extra 2 points of damage against the creature that used the Force power against you. | J=No | L=0
Row 55: B=undefined | C=undefined | D=Sense Primal Force | E=undefined | I=can use Sense Surroundings to detect targets 30sq radius, regardless of LOS | J=No | L=0
Row 56: B=undefined | C=undefined | D=Sentinel Strike | E=undefined | I=Deal 1d6 extra damage to flat-footed opponents with Force powers or lightsaber attacks

(Enter number of times taken) | J=No | L=0
Row 57: B=undefined | C=undefined | D=undefined | E=Dark Retaliation | I=Spend a Force Point once per encounter upon being targeted by a dark side power to activate a Force power as a reaction | J=No | L=0
Row 58: B=undefined | C=undefined | D=Sentinel's Gambit | E=undefined | I=As a swift action once per encounter, designate an adjacent opponent with a Dark Side score to deny them their Dexterity bonus to Reflex Defense until your next turn | J=No | L=0
Row 59: B=undefined | C=undefined | D=Sentinel's Observation | E=undefined | I=If you have concealment against a target, you gain a +2 circumstance bonus on attack rolls against that target. | J=No | L=0
Row 60: B=undefined | C=undefined | D=Steel Resolve | E=undefined | I=Take a penalty to your melee attack roll to gain twice that as a bonus to your Will Defense | J=No | L=0
Row 61: B=undefined | C=Lightsaber Combat | D=Block | E=undefined | I=Make a Use the Force check as a reaction to negate a melee attack roll against you, or provide you with cover against Whirlwind Attack, with a cumulative penalty of -5 each time Block or Deflect has been used since your last turn | J=No | L=0
Row 62: B=undefined | C=undefined | D=undefined | E=Riposte | I=Once per encounter, gain a free lightsaber attack against an opponent whose attack you have negated using Block | J=No | L=0
Row 63: B=undefined | C=undefined | D=Cortosis Gauntlet Block | E=undefined | I=Use Block with cortosis gauntlet, attacking lightsaber deactivated | J=No | L=0
Row 64: B=undefined | C=undefined | D=Deflect | E=undefined | I=Make a Use the Force check as a reaction to negate a ranged attack roll against you, or provide you with cover against autofire or Force Lightning, with a cumulative penalty of -5 each time Block or Deflect has been used since your last turn | J=No | L=0
Row 65: B=undefined | C=undefined | D=undefined | E=Redirect Shot | I=Once per round on a successful use of Deflect on a single blaster bolt, make a ranged attack against a target using the blaster weapon's damage | J=No | L=0
Row 66: B=undefined | C=undefined | D=undefined | E=undefined | I=Whenever you successfully redirect a blaster bolt and hit your target, the redirected attack deals + 1 die of damage. | J=No | L=0
Row 67: B=undefined | C=undefined | D=Lightsaber Defense | E=undefined | I=Gain +1 to Reflex Defense as a swift action until your next turn

(Enter number of times taken) | J=No | L=0
Row 68: B=undefined | C=undefined | D=Precision | E=undefined | I=As standard action make melee attack with lightsaber, reduces target's speed to 2 squares until end of your next turn | J=No | L=0
Row 69: B=undefined | C=undefined | D=Shoto Focus | E=undefined | I=Whenever you wield a one-handed lightsaber and a shoto or guard shoto, you gain a +2 competence bonus to attacks made with the shoto | J=No | L=0
Row 70: B=undefined | C=undefined | D=Weapon Specialization (lightsabers) | E=undefined | I=Gain +2 bonus to damage rolls with lightsabers | J=No | L=0
Row 71: B=undefined | C=undefined | D=Lightsaber Throw | E=undefined | I=A lightsaber is no longer considered an improvised thrown weapon, and can be recalled after a thrown attack within 6 squares with a DC 20 Use the Force check | J=No | L=0
Row 72: B=The Force | C=Alter | D=Aversion | E=undefined | I=As a swift action, spend a Force point to make creatures want to avoid you, making all squares in a 2-square radius count as difficult terrain for your enemies | J=No | L=0
Row 73: B=undefined | C=undefined | D=Disciplined Strike | E=undefined | I=Exclude a number of targets equal to your Wisdom modifier (minimum 1) from cone effect Force powers | J=No | L=0
Row 74: B=undefined | C=undefined | D=Force Flow | E=undefined | I=Gain a temporary Force Point upon rolling a natural 1 on an attack roll or Use the Force check | J=No | L=0
Row 75: B=undefined | C=undefined | D=Illusion | E=undefined | I=Spend a Force Point as a standard action to create illusions which appear real to those whose Will Defense is exceeded by your Use the Force check | J=No | L=0
Row 76: B=undefined | C=undefined | D=undefined | E=Illusion bond | I=Can see or hear as if you were standing in the space of your illusion if humanoid | J=No | L=0
Row 77: B=undefined | C=undefined | D=undefined | E=Masquerade | I=You can use the Use the Force skill in place of Deception for the purposes of creating a deceptive appearance | J=No | L=0
Row 78: B=undefined | C=undefined | D=Influence Savant | E=undefined | I=1/encounter can return one mind-affecting Force power as a Swift action without costing a Force point | J=No | L=0
Row 79: B=undefined | C=undefined | D=undefined | E=Suppress Force | I=Use mind trick to convince a target they can't use the Force | J=No | L=0
Row 80: B=undefined | C=undefined | D=Link | E=undefined | I=One ally trained in Use the Force can aid another to another within 12 squares and line of sight as a reaction, but takes a penalty on Use the Force checks | J=No | L=0
Row 81: B=undefined | C=undefined | D=Telekinetic Power | E=undefined | I=Free extra use of of telekinetic Force power on a natural 20 | J=No | L=0
Row 82: B=undefined | C=undefined | D=undefined | E=Move Massive Object | I=Spend a Force point to have targets of Move Object bigger than Large deal area damage | J=No | L=0
Row 83: B=undefined | C=undefined | D=Telekinetic Savant | E=undefined | I=Return a telekinetic Force power to your suite as a swift action once per encounter

(Enter number of times taken) | J=No | L=0
Row 84: B=undefined | C=undefined | D=undefined | E=Telekinetic Prodigy | I=Gain a free telekinetic power when you select move object as one of the powers from Force Training | J=No | L=0
Row 85: B=undefined | C=undefined | D=Telepathic Link | E=undefined | I=Form a telepathic link with another Force Sensitive ally which allows instant communication within one kilometer, and once per encounter use of a Force power from their Force suite | J=No | L=0
Row 86: B=undefined | C=undefined | D=undefined | E=Telepathic Influence | I=Upon rolling a natural 20 on an attack roll or Use the Force check, you may grant an ally within 12 squares a temporary Force Point instead of regaining all spent Force powers | J=No | L=0
Row 87: B=undefined | C=Control | D=Beast Trick | E=undefined | I=You can use mind trick on creatures of Intelligence 2 or lower | J=No | L=0
Row 88: B=undefined | C=undefined | D=Channel Energy | E=undefined | I=Whenever you use the negate energy Force power to successfully negate the damage from an energy weapon attack, you can spend a Force Point as a reaction to immediately activate any Force Power currently in your Force suite | J=No | L=0
Row 89: B=undefined | C=undefined | D=Damage Reduction 10 | E=undefined | I=Spend a Force Point to gain DR 10 for 1 minute as a standard action | J=No | L=0
Row 90: B=undefined | C=undefined | D=Equilibrium | E=undefined | I=Spend a Force Point to remove all debilitating conditions as a swift action | J=No | L=0
Row 91: B=undefined | C=undefined | D=undefined | E=Force Recovery | I=Gain an extra 1d6 hit points per Force Point (maximum 10d6)  when using second wind | J=No | L=0
Row 92: B=undefined | C=undefined | D=Force Exertion | E=undefined | I=Move -1 persistent step along the condition track to choose a Force power which can be used an extra time at the expense of any other power

(Enter number of times taken) | J=No | L=0
Row 93: B=undefined | C=undefined | D=Force Focus | E=undefined | I=Make a DC 15 Use the Force check to regain a spent Force power as a full round action | J=No | L=0
Row 94: B=undefined | C=undefined | D=Force Harmony | E=undefined | I=Once per encounter, you can activate one Force talent that requires a Force Point to use without spending a Force Point | J=No | L=0
Row 95: B=undefined | C=undefined | D=Force Suppression | E=undefined | I=Upon failing to successfully negate or redirect a Force power with rebuke, you may instead lessen the effect of the Force power one step | J=No | L=0
Row 96: B=undefined | C=undefined | D=Indomitable Will | E=undefined | I=Spend a Force Point as a standard action to become immune to all mind-affecting effects for 1 minute | J=No | L=0
Row 97: B=undefined | C=undefined | D=Telekinetic Stability | E=undefined | I=You are immune to effects that move you against your will | J=No | L=0
Row 98: B=undefined | C=undefined | D=The Will to Resist | E=undefined | I=Once per turn, as a reaction, when defending against a Force power that targets your Will Defense, you can roll a Use the Force check and use the result instead, but the next round your Use the Force checks are -5 | J=No | L=0
Row 99: B=undefined | C=Dark Side | D=Consumed by Darkness | E=undefined | I=As a swift action, take a -5 penalty to Will Defense to gain a +2 bonus to attack until your next round | J=No | L=0
Row 100: B=undefined | C=undefined | D=Dark Side Savant | E=undefined | I=Once per encounter as a swift action, you can return one Force power with the [dark side] descriptor to your Force suite without spending a Force Point | J=No | L=0
Row 101: B=undefined | C=undefined | D=Drain Knowledge | E=undefined | I=Gain Skill Training or Focus in a skill from a touched target with a Use the Force check against their Will Defense or learn information with a Perception check | J=No | L=0
Row 102: B=undefined | C=undefined | D=Power of the Dark Side | E=undefined | I=Choose the best of two rolls on the bonus die for spending a Force Point to modify an attack roll, increasing Dark Side Score by 1 | J=No | L=0
Row 103: B=undefined | C=undefined | D=undefined | E=Dark Presence | I=You and allies within 6 squares gain +1 bonus to all defenses until the end of the encounter as a standard action | J=No | L=0
Row 104: B=undefined | C=undefined | D=undefined | E=undefined | I=Gain +2 bonus to attack rolls and damage rolls for the remainder of the encounter upon the death (or reduction to 0 hit points) of an ally of equal or higher ally | J=No | L=0
Row 105: B=undefined | C=undefined | D=undefined | E=Dark Preservation | I=Negate moving down the condition track by increasing your Dark Side score | J=No | L=0
Row 106: B=undefined | C=undefined | D=undefined | E=Swift Power | I=Use a Force power of standard or move action duration as a swift action once per day | J=No | L=0
Row 107: B=undefined | C=undefined | D=undefined | E=Wrath of the Dark Side | I=Upon rolling a natural 20 to activate a damaging Force Power, you may deal half the damage again at the beginning of the target's next turn instead of replenishing your Force suite | J=No | L=0
Row 108: B=undefined | C=undefined | D=Transfer Essence | E=undefined | I=When you die become a dark side spirit and can possess others or enter an object | J=No | L=0
Row 109: B=undefined | C=Guardian Spirit | D=Guardian Spirit | E=undefined | I=Your guardian spirit can tell you the immediate consequences of your actions, and you gain a bonus Force point per day after a 6-hour rest that can be only used to enhance Force powers, or activate techniques and secrets | J=No | L=0
Row 110: B=undefined | C=undefined | D=undefined | E=Crucial Advice | I=1/encounter reroll failed skill check with +2 bonus | J=No | L=0
Row 111: B=undefined | C=undefined | D=undefined | E=Manifest Guardian Spirit | I=Your guardian spirit appears for the encounter within 6 squares of you, and as long as it remains within 12 squares from you, you receive +1 on attack rolls, +2 on Use the Force checks, and +2 Will Defense; you can move the spirit up to six squares once per round as a Swift action | J=No | L=0
Row 112: B=undefined | C=undefined | D=undefined | E=undefined | I=Any enemy within 3 squares takes a -2 penalty to Will Defense and attack rolls against you | J=No | L=0
Row 113: B=undefined | C=undefined | D=undefined | E=Vital Encouragement | I=1/encounter you gain temporary hit points equal to 10 + 1/2 your heroic level | J=No | L=0
Row 114: B=undefined | C=Light Side | D=At Peace | E=undefined | I=Spend a Force point to gain a +2 bonus to all Defenses until the end of the encounter, or when you attack, whichever comes first | J=No | L=0
Row 115: B=undefined | C=undefined | D=Focused Attack | E=undefined | I=You can spend a Force point to reroll an attack against a target with a Dark Side score of 1 or more and take the better of the results | J=No | L=0
Row 116: B=undefined | C=undefined | D=undefined | E=Attuned | I=When you roll a natural 20 against a target with a Dark Side score of 1 or more, you may activate a Force power with the [Light Side] descriptor immediately as a free action | J=No | L=0
Row 117: B=undefined | C=undefined | D=Surge of Light | E=undefined | I=Once per encoutner, as a swift action, you can return any Force power with the [light side] descriptor without spending a Force point | J=No | L=0
Row 118: B=undefined | C=Sense | D=Feel the Force | E=undefined | I=Spend a Force Point as a standard to ignore all concealment for 1 minute | J=No | L=0
Row 119: B=undefined | C=undefined | D=Force Perception | E=undefined | I=Perception checks can be made with Use the Force, and Perception is considered a trained skill | J=No | L=0
Row 120: B=undefined | C=undefined | D=undefined | E=Foresight | I=Spend a Force point to reroll an Initiative check, keeping the better result, regaining the Force point in the case of a natual 20 | J=No | L=0
Row 121: B=undefined | C=undefined | D=undefined | E=Gauge Force Potential | I=Make a Use the Force check against a target's Will Defense as a standard action to ascertain whether it is Force Sensitive, and how many Force powers and Force Points it has | J=No | L=0
Row 122: B=undefined | C=undefined | D=undefined | E=Motion of the Future | I=Use a use of the farseeing power from your suite, and before end of your next turn force attacker to reroll their attack roll and keep the second result | J=No | L=0
Row 123: B=undefined | C=undefined | D=undefined | E=Psychometry | I=When you use Farseeing you can choose to target an object you hold and look into its past up to 5 years per level | J=No | L=0
Row 124: B=undefined | C=undefined | D=undefined | E=Visions | I=Farseeing can be used to see the past or future of the target at the cost of a Force Point | J=No | L=0
Row 125: B=undefined | C=undefined | D=Force Pilot | E=undefined | I=Pilot checks can be made with Use the Force, and Pilot is considered a trained skill | J=No | L=0
Row 126: B=undefined | C=undefined | D=undefined | E=Force Reflexes | I=Spend a Force Point to reroll a Pilot check to activate a Starship Maneuver and keep the better result | J=No | L=0
Row 127: B=undefined | C=undefined | D=undefined | E=Instinctive Navigation | I=Use the Force replaces Use Computer for astrogation | J=No | L=0
Row 128: B=undefined | C=undefined | D=Heightened Awareness | E=undefined | I=You can spend a Force point to add your Charisma bonus to your Perception check | J=No | L=0
Row 129: B=undefined | C=undefined | D=Shift Sense | E=undefined | I=You can spend a Force Point to gain low-light vision for 1 minute or until the end of the encounter, whichever is longer | J=No | L=0
Row 130: B=Noble | C=Anticipation | D=Anticipate Movement | E=undefined | I=Once per round, as a reaction to an enemy in your line of sight moving, you can enable one ally within your line of sight to move up to his or her speed as a free action.  | J=No | L=0
Row 131: B=undefined | C=undefined | D=Forewarn Allies | E=undefined | I=All allies within 12 squares of you gain a +2 insight bonus on attack rolls and damage rolls for attacks of opportunity. | J=No | L=0
Row 132: B=undefined | C=undefined | D=undefined | E=Heavy Fire Zone | I=Once per turn, as a swift action, destinate a 3×3 square area within your line of sight. Until the end of your next turn, if a target moves into that area you can enable one ally within your line of sight to make an attack of opportunity against that target. The ally you choose must be armed with a weapon capable of making attacks of opportunity, and this counts toward the ally's normal limitations for attacks of opportunity made in a round. Prerequisite: Forewarn Allies. | J=No | L=0
Row 133: B=undefined | C=undefined | D=Get Down | E=undefined | I=As a reaction, when an ally is targeted by a ranged attack, you can enable that ally to drop prone immediately (imposing the normal -2 penalty for a ranged attack against a prone target to the triggered attack roll) as a free action. | J=No | L=0
Row 134: B=undefined | C=undefined | D=undefined | E=Summon Aid | I=Once per round, as a reaction, when an enemy moves adjacent to you, you can enable one ally within your line of sight to immediately make a charge attack against the triggering enemy. The ally you choose must be able to charge the enemy from his or her current square under normal charge rules. Prerequisite: Get Down. | J=No | L=0
Row 135: B=undefined | C=Collaborator | D=Double Agent | E=undefined | I=When you roll Initiative at the beginning of combat, also roll a Deception check, comparing the result to the Will Defense of all enemies in line of sight. If your Deception check is successful, that target cannot attack you while this effect is active. | J=No | L=0
Row 136: B=undefined | C=undefined | D=undefined | E=Protection | I=As a standard action, you designate one ally and make a Persuasion check against the Will Defense of all enemies in line of sight. Successful checks mean they cannot attack the ally you designated until the beginning of your next turn. | J=No | L=0
Row 137: B=undefined | C=undefined | D=Enemy Tactics | E=undefined | I=Whenever an enemy within 12 squares of you and in your line of sight receives an insight or morale bonus from any source, you can also gain that bonus, subject to all the same limitations as the bonus provided to that enemy. | J=No | L=0
Row 138: B=undefined | C=undefined | D=undefined | E=Friendly Fire | I=If you are in melee combat with an adjacent enemy and are the target of a ranged attack that misses you, if the attack equals or exceeds the enemy's Reflex Defense, that enemy becomes the new target of the attack, which is resolved as normal. | J=No | L=0
Row 139: B=undefined | C=undefined | D=Feed Information | E=undefined | I=As a swift action, you can grant one enemya +1 bonus on its next attack roll made before the beginning of your next turn. Additionally, until the beginning of your next turn, you can designate one ally who receives a +2 bonus on its next attack roll. | J=No | L=0
Row 140: B=undefined | C=Disgrace | D=Castigate | E=undefined | I=Make Persuasion check as standard action against target's Will Defense. If successful, you impose a -2 penalty to all the target's Defenses until the end of your net turn. | J=No | L=0
Row 141: B=undefined | C=undefined | D=Dirty Tactics | E=undefined | I=Once per encounter, as a standard action, you grant tactical advantage to all allies within your line of sight. When an ally flanks an opponent, that ally gains a +4 flanking bonus on melee attack rolls instead of the normal +2 bonus. | J=No | L=0
Row 142: B=undefined | C=undefined | D=undefined | E=Ambush | I=During a surprise round, before combat begins, if you are not surprised, you can give up your standard action to allow all nonsurprised allies within line of sight to take an extra move action during the surprise round or reroll their Initiative check. | J=No | L=0
Row 143: B=undefined | C=undefined | D=undefined | E=Misplaced Loyalty | I=As swift action, make Persuasion check against Will Defense of all opponents within line of sight. If successful, targets cannot attack you if one of your allies is within 6 squares of you. | J=No | L=0
Row 144: B=undefined | C=undefined | D=undefined | E=undefined | I=Use each of the following actions once per encounter as a standard action:
- Flase Security
- Nonthreatening
- Tricky Target
See p. 14 of Scum and Villainy | J=No | L=0
Row 145: B=undefined | C=undefined | D=Unreadable | E=undefined | I=Gain +5 bonus to your Will Defense against skill checks made to read your emotions and influence your attitude. Additionally, when you feint a target in combat, that target is flat-footed against all your attacks until the end of your next turn. | J=No | L=0
Row 146: B=undefined | C=Exile | D=Arrogant Bluster | E=undefined | I=Persuasion to change enemy's attitude for -5 enemy's Will Def until next turn, FP for end of enc | J=No | L=0
Row 147: B=undefined | C=undefined | D=Galactic Guidance | E=undefined | I=1/enc as reac if succeed on Know (galactic lore) enable 1 ally w/in 6sq & LOS to reroll failed Int or Wis based skill check (other than Perception) | J=No | L=0
Row 148: B=undefined | C=undefined | D=Rant | E=undefined | I=if succeed on Persuasion to intimidate enemy w/in 6sq deny enemy move instead, grant 1 ally to use move immediately | J=No | L=0
